

Day 1
ability  n. 能力；才能                
quake  n.& v. 震动，颤抖 
questionnaire  n. 调查表，问卷
queue  n. 行列，长队 
quilt  n. 被子；被状物 
racial  a. 种族的 
radiation  n. 放射，放射物 
radioactive  a. 放射性的 
radium  n. 镭 
rag  n. 破布，抹布 
rail  n. 铁路 

Day72
rainbow  n. 虹，彩虹 
rainfall  n. 一场雨； 降雨量 
random  a.随意,未经事先考虑的 
rate  n./ v. 率，评估，评价
raw  a.生的,未煮过的,未加工的 
ray  n. 光辉，光线 
razor  n. 剃须刀 
rebuild  vt. 重建 
reception  n. 接待 
receptionist  n. 接待员 
recipe  n. 烹饪法，食谱 
recite  v. 背诵 
recreation  n. 娱乐，消遣 
rectangle  n. & a.长方形,长方形的 
referee  n. 裁判，仲裁，调解员
refresh  v. 使恢复精力，更新，刷新
regardless  a. 不顾，不加理会
register  n. 登记簿，花名册，注册员 v. 登记，注册 
regulation  n. 规则，规章 
relative  n. 亲属，亲戚 
relay  n. 接力，接替人，中转 v. 接替，补充；转运 
remark  n. 陈述；话；议论 
representative  n.代表,典型人物
rescue  vt. 营救，援救 
resemble  v. （不用进行时）像，看起来像 
reservation  n. 预定，保留 
reserve  n. & v. 储备；预定 
resign  v. 辞职 

Day73
restriction  n. 限制，约束 
revolution  n. 革命，变革 
rewind  v. 回转（磁带等） 
rhyme  n./ v. 押韵 
rid (rid, rid / ridded, ridded)  vt. 使摆脱 
ridiculous  a. 荒谬的，愚蠢的
rigid adj.僵硬的，不变的
ripe  a. 成熟的，熟的 
ripen  v. （使）成熟 
rob  v. 抢夺，抢劫 
rooster  n. (美)公鸡
rot  vi. 烂； 腐败 
roundabout  a. & n. 绕道的，不直接的；转盘路 
routine  n. 常规,正常顺序,无聊 
rugby  n. （英）橄榄球 
ruin  vt. （使）毁坏；（使） 毁灭 n. (复) 废墟；遗迹 
sacred  a. 害怕，恐惧，担心 
sacrifice  vt. 牺牲 
salute  v.& n. 敬礼 
saucer  n. 茶碟，茶托，小圆盘 
scar  n. 伤疤，伤痕
scare  v. 使害怕，使恐惧 
sceptical (AmE skeptical)  a.怀疑的 
scold  vt. 责骂 
scratch v./ n. 划破，划痕，划伤
sculpture  n. 雕塑（术），雕刻（术），雕刻作品，雕像 
seagull  n. 海鸥 

Day74
seal  n. 海豹 
seashell  n. 海贝 
seaweed  n. 海草,海藻,海带 
seize  vt. 抓住(时机等) 
semicircle  n. 半圆 
seminar n.研讨会；讲习班
settlement  n. 新拓居地；（美）部落，村落 
settler  n. 移居者，开拓者 
shabby  a.破旧,破烂,衣衫褴褛的 
sharpen  v. （使）变锐利，削尖 
sharpener  n. 削尖用的器具 
shaver n. 电动剃须刀 
shelter  n. 掩蔽；隐蔽处 
shortly  ad. 不久 
shrink (shrank, shrunk / shrunk, shrunken) v. 缩小，收缩，减少
shuttle  vn. 合拢 （往返与两个定点之间的）（火车汽车飞机）班车/机 
sideways  ad. 斜向一边的 
signature  n. 签名 
significance  n. 重要性，意义
sincerely  ad. 真诚地 
skateboard n. 冰鞋，滑板 
skip  v. 蹦蹦跳跳；跳绳 
skyscraper n. 摩天楼 
slavery  n. 奴隶制度 
slice n. 片，切面（薄）片 
smog n. 烟雾(= smoke + fog) 

Day75
sob n.& v. 抽泣，啜泣 
socialism  n. 社会主义 
socialist  a. 社会主义的 
socket  n. （电源）插座 
sorrow  n. 悲伤，悲痛 
soul n. 灵魂；心灵；气魄 
souvenir n.旅游纪念品,纪念物 
sow (sowed, sown 或-ed) vt.播种 
spade  n. 铲子;纸牌中的黑桃 
spear n. 矛，枪，梭镖 
spin v.& n. 纺，（使）快速旋转；旋转，旋转运动 
spiritual a. 精神的； 心灵的 
spit v. 吐唾沫；吐痰 
split  v. 撕开;切开 
sponsor  n. 赞助者，赞助商 
spoonful  n. 一匙（的量） 
spray  n. / v. 水雾,喷雾(器)喷洒 
squeeze n. 挤压，捏，塞 
stain  n. 污点，污渍，染色剂
stainless  a. 无污点的
starvation  n. 饥饿； 饿死 
starve  v. 饿死 
statesman/ woman (pl. statesmen/ women)   n. 政治家 
statistics  n. 统计数字，统计资料，统计学
statue  n. 法令，法规，章程
steady  a. 稳固的；平稳的 

Day76
steward  n. (火车、飞机、轮船等)男服务员；男乘务员 
stewardess  n.女乘务员,空中小姐 
stocking  n. 长统袜 
storage  n. 贮藏； 储存 
stout  a. 肥壮的，厚实牢固的
strait  n. 海峡 
strengthen   vt. 加强，增强
stress n. 精神压力，心理负担 v. 强调，重读 
string  n. 细绳，线，带 
stubborn  a. 固执的，倔强的
subjective  a. 主观的 
submit  v. 提交，呈递（文件，建议等）
subscribe  v.订阅,订购（报刊等）
substitute   v. 代替，取代 
suck  vt. 吸吮 
suite  n. 套间；组曲 
sunburnt  a. 晒黑的 
superb  a. 卓越的,质量极高的
superior  a. 更胜一筹的 n. 上级，上司 
supreme  a.至高无上的,最高的
surgeon  n. 外科医生 
surplus  n. 过剩，剩余 
suspension  n.暂令停职,推迟,延期 
swap  v. 交换（东西）
swear (swore, sworn)   v.咒骂.,诅咒
swift  a. 快的，迅速的 
sword  n. 剑，刀 

Day77
symbol  n. 象征
sympathy  n. 同情
symphony  n. 交响乐
symptom  n. 症状 
tablet n. 药片 
tailor  n. 裁缝 
talent  n. 天才，天赋 
tasteless  a. 无滋味的 
taxipayer n. 纳税人 
teamwork  n. 合作，协同工作 
teapot  n. 茶壶 
tease  v. 取笑，戏弄，寻开心
telescope n.望远镜
temple  n. 庙宇，寺院 
tendency  n. 倾向，偏好，性情
tense  a. 心烦意乱的，紧张的 
tension  n. 紧张局势，矛盾
tentative  a. 不确定的，踌躇的
terminal  a.(火车汽车飞机)终点站 
terrify  vt. 使人感到恐怖 
terror  n. 恐惧，惊恐 
theft  n. 盗窃案 
theme  n. 主题 
theoretical  a. 理论的 
thermos  n. 热水瓶 
thirst  n. 渴； 口渴 
thorough  a. 彻底的 

Day78
thrill  n./ v. 兴奋，激动
thriller  n. 惊险小说 
thunderstorm  n.雷电交加暴风雨 
tin  n. （英）罐头，听头 
tip  n.& v.顶端，尖端；告诫； 提示 (给)小费 
tire  vi. 使疲劳 
tiresome a. 令人厌倦的 
tissue  n. （人，动植物的）组织，纸巾 
tolerate  v. 容许，允许，忍受 
tortoise  n. 乌龟 
tournament  n. 锦标赛，联赛
tractor  n. 拖拉机 
tram  n. 有轨电车 
transform  v.使改变形态,使改观 
transparent  a.透明的，清澈的
trap  n. 陷阱 vt. 使陷入困境 
tremble  v. 颤抖 
trend  n. 趋势，倾向，动态
trunk  n. 树干；大箱子 
tube  n. 管，管状物
tune  n. 曲调，曲子 
turkey  n. 火鸡 
turning n  . 拐弯处，拐角处 
twist  v./ n. 使弯曲，转动 
typhoon  n. 台风 
unbearable  a.难耐得,无法接受的
unbelievable  a.难以置信的
uncertain  a.不确定的 
uncomfortable  a. 令人不舒服的
unconditional  a.无条件，绝对的
unconscious  a.昏迷,不省人事的 
underline  v. 在…下划线

Day79
undertake (undertook, undertaken)  v. 承担，从事，负责
underwear  n. 内衣 
unemployment  n.失业,失业状态 
unfair  a. 不公平的，不公正的 
unfit  a. 不合宜的，不相宜的 
unfortunate  a. 不幸的 
unique  a. 惟一的,独一无二的
unite  v. 联合，团结 
universal  a. 普遍的，全体的
unrest  n. 不安；骚动 
unwilling  a. 不愿意的，勉强的
update v.更新，升级
upper  a. 较高的，较上的 
upset  a. 心烦的，苦恼的 
upward  ad. 向上；往上 
urban  a. 城市的，都市的
urge  v. 敦促，催促，力劝
urgent  a. 紧急的，紧迫的
vacant  a. 空缺的，未被占用的
vague  a. 含糊的，紧迫的
vain  n. 自负的，自视过高的，徒劳的，无效的 
valid  a.有效的,合理的,有根据的
valley  n. 山谷, 溪谷 
version  n. 变体，变种，改写本
vertical  a. 垂直的，纵向的
via  prep. 经过（某地），通过
vice  n. 罪行，不道德行为

Day80
videophone  n. 可视电话 
violate  v. 违反（法律、协议等），侵犯 
violinist  n. 提琴家，提琴手 
virtue  n. 美德,正直的品行,德行 
virus  n.病毒 
visa  n. 签证，背签 
vital  a. 必不可少的，对…极重要的
vivid  a. 生动，逼真的，鲜明的
voluntary  a. 自愿的，主动的 
volunteer  n./ v. 义工，自愿者，无偿做 
wag  v. 摇动；摆动 
ward  n. 保卫,看护,病房,收容所 
warehouse  n. 仓库，货栈 
wax  n. 蜡 
weed  n. 杂草，野草 
weekly  a. 每周的 
weep  v. 哭泣，流泪 
welfare n.安康，福利
westwards  ad. 向西 
widow n.寡妇
wipe  v. 擦；擦净；擦干 
withdraw  v. 撤回，撤离 
witness  v./ n. 目击者，见证人 
worm  n. 软体虫,蠕虫(尤指蚯蚓)
worthwhile  a. 值得做的 
worthy  a. 值得的 
wrestle  v. 摔跤 
wrinkle  n. 皱纹 
yawn  v. 打哈欠 
yell  v. 叫喊，吼叫 
zipper  n. 拉链 
zoom  v. 快速移动，迅速前往，猛涨
